Supplementary Table 6a. Dataset of experimentally tested noncoding element-gene connections in K562 cells		
chr	start	end
chr8	128189625	128192185
chr8	128208622	128211122
chr8	128230263	128232763
chr8	128578205	128580765
chr8	128627285	128629785
chr8	128629585	128632085
chr8	128630185	128632725
chr8	128736885	128739385
chr8	128739945	128742485
chr8	128757345	128759905
chr8	128770725	128773225
chr8	128771725	128774485
chr8	128787805	128790305
chr8	128805528	128808028
chr8	128806125	128808865
chr8	128806925	128809425
chr8	128811885	128814385
chr8	128817965	128820545
chr8	128826425	128828925
chr8	128831405	128833905
chr8	128833725	128836225
chr8	128842745	128845245
chr8	128855505	128858085
chr8	128856945	128859445
chr8	128857545	128860045
chr8	128858805	128861425
chr8	128862585	128865725
chr8	128865365	128868165
chr8	128870905	128873425
chr8	128877565	128880065
chr8	128886765	128889365
chr8	128901145	128904065
chr8	128903245	128905745
chr8	128904005	128906505
chr8	128905785	128908325
chr8	128906905	128909405
chr8	128907965	128910485
chr8	128916005	128918585
chr8	128917445	128919985
chr8	128918965	128921525
chr8	128922045	128924785
chr8	128922905	128925405
chr8	128924725	128927225
chr8	128925445	128927985
chr8	128927405	128929925
chr8	128928245	128931145
chr8	128929785	128932285
chr8	128930405	128932905
chr8	128931145	128933705
chr8	128937265	128939805
chr8	128939265	128942065
chr8	128956665	128959265
chr8	128957765	128960265
chr8	128959665	128962219
chr8	128960765	128963285
chr8	128962705	128965205
chr8	128963265	128965965
chr8	128969925	128972445
chr8	128973565	128976065
chr8	128978925	128981445
chr8	128979545	128982045
chr8	128980545	128983045
chr8	128981865	128984385
chr8	128987225	128989745
chr8	128988905	128991425
chr8	128991385	128993885
chr8	128998905	129001425
chr8	129003805	129006785
chr8	129013645	129016225
chr8	129018705	129021225
chr8	129022205	129024765
chr8	129025545	129028305
chr8	129027645	129030165
chr8	129029945	129032445
chr8	129041645	129044145
chr8	129046325	129048825
chr8	129050505	129053025
chr8	129058405	129060905
chr8	129061805	129064645
chr8	129068085	129070585
chr8	129070125	129072625
chr8	129072645	129075145
chr8	129073945	129076445
chr8	129075385	129077945
chr8	129076705	129079225
chr8	129078145	129080705
chr8	129088185	129090685
chr8	129089145	129091685
chr8	129093805	129096305
chr8	129116125	129118625
chr8	129117385	129119885
chr8	129139005	129141505
chr8	129141085	129143605
chr8	129149525	129152025
chr8	129151025	129153525
chr8	129156065	129158585
chr8	129161185	129163685
chr8	129178905	129181425
chr8	129184805	129187305
chr8	129189224	129189345
chr8	129194665	129197185
chr8	129195785	129198285
chr8	129201405	129203905
chr8	129208745	129211265
chr8	129251565	129254105
chr8	129262965	129265465
chr8	129280605	129283105
chr8	129294305	129296805
chr8	129323085	129325605
chr8	129333805	129336325
chr8	129338085	129340605
chr8	129352625	129355125
chr8	129354345	129357025
chr8	129355065	129357565
chr8	129364785	129367325
chr8	129439265	129441765
chr8	129459225	129461725
chr8	129564305	129566805
chr8	129565845	129569065
chr8	129567845	129570345
chr8	129575675	129578175
chr8	129664465	129667025
chr8	130321225	130323725
chr8	130326325	130328905
chr8	130327845	130330385
chr8	130328685	130331185
chr8	130329665	130332205
chr8	130330565	130333125
