Supplementary Table 3a. Data for E-G pairs generated by CRISPRi-FlowFISH screens in K562 cells		
chr	start	end
chr19	12996905	12998745
chr19	48812505	48813005
chr19	48817545	48818085
chr19	48824385	48824925
chr19	48824985	48825585
chr19	48828378	48829005
chr19	48829105	48829625
chr19	48835885	48836625
chr19	48837085	48837585
chr19	48842585	48843105
chr19	48848065	48848565
chr19	48854445	48854985
chr19	48857765	48858285
chr19	48860245	48860765
chr19	48866225	48866745
chr19	48867065	48867900
chr19	48882305	48882825
chr19	48888265	48888845
chr19	48893765	48894265
chr19	48894560	48895125
chr19	48901785	48902565
chr19	48902785	48903825
chr19	48906765	48907285
chr19	48918625	48919125
chr19	48921865	48922365
chr19	48926705	48927225
chr19	48927925	48928445
chr19	48948385	48949865
chr19	48965525	48966045
chr19	48972065	48972714
chr19	48994265	48995185
chr19	48995945	48996445
chr19	48996485	48997025
chr19	49004845	49005805
chr19	49013725	49014245
chr19	49016965	49017545
chr19	49057025	49057525
chr19	49061365	49061885
chr19	49066245	49067065
chr19	49068145	49068725
chr19	49071505	49072065
chr19	49077845	49078345
chr19	49087405	49087905
chr19	49092065	49092605
chr19	49104805	49105305
chr19	49111965	49112605
chr19	49122297	49122925
chr19	49127205	49127745
chr19	49136565	49137065
chr19	49137625	49138125
chr19	49138385	49139005
chr19	49140557	49141785
chr19	49142125	49142625
chr19	49147965	49148465
chr19	49149245	49150285
chr19	49154505	49155005
chr19	49155845	49156345
chr19	49164145	49164725
chr19	49178545	49179065
chr19	49181385	49181885
chr19	49184245	49184745
chr19	49188705	49189225
chr19	49201245	49201785
chr19	49217245	49217905
chr19	49223765	49224305
chr19	49228065	49228565
chr19	49240545	49241065
chr19	49241785	49242285
chr19	49243720	49245145
chr19	49248365	49248885
chr19	49249985	49250765
chr19	49251085	49251625
chr19	49256667	49257845
chr19	49258505	49259065
chr19	49269005	49269505
chr19	49277645	49278145
chr19	49284045	49284685
chr19	49287765	49288285
chr19	49291305	49291865
chr19	49298545	49299065
chr19	49309805	49310825
chr19	49314070	49314625
chr19	49315365	49315905
chr19	49319185	49319685
chr19	49322685	49323205
chr19	49333325	49333845
chr19	49338885	49339405
chr19	49345685	49346405
chr19	49347645	49348165
chr19	49357245	49357765
chr19	49361765	49362265
chr19	49362425	49362945
chr19	49363225	49363765
chr19	49370285	49370805
chr19	49375325	49375898
chr19	49376085	49376585
chr19	49376745	49377245
chr19	49377625	49378145
chr19	49378405	49379925
chr19	49381225	49382185
chr19	49391365	49391905
chr19	49393745	49394245
chr19	49395065	49395625
chr19	49399345	49399905
chr19	49401746	49402745
chr19	49403056	49403725
chr19	49421898	49422585
chr19	49430065	49430565
chr19	49436585	49437188
chr19	49446285	49446805
chr19	49454265	49454865
chr19	49457745	49458366
chr19	49465505	49466025
chr19	49466965	49467465
chr19	49467725	49468815
chr19	49469005	49469505
chr19	49470805	49471705
chr19	49473045	49473565
chr19	49474085	49474605
chr19	49479345	49479885
chr19	49482085	49482585
chr19	49486785	49487285
chr19	49495365	49495905
chr19	49496360	49497345
chr19	49520885	49521385
chr19	49522305	49523045
chr19	49534785	49535418
chr19	49539941	49540505
chr19	49541805	49542325
chr19	49558747	49559725
chr19	49574965	49575505
chr19	49577085	49577585
chr19	49578045	49578565
chr19	49584465	49584965
chr19	49588146	49588845
chr19	49600945	49601505
chr19	49609745	49610265
chr19	49613725	49614245
chr19	49616845	49617867
chr19	49619745	49620265
chr19	49621765	49622895
chr19	49631065	49631765
chr19	49632465	49632985
chr19	49636645	49637145
chr19	49639205	49639745
chr19	49646085	49646585
chr19	49650945	49651825
chr19	49652425	49653365
chr19	49653525	49654085
chr19	49654785	49655285
chr19	49658165	49659745
chr19	49660745	49661725
chr19	49665225	49665725
chr19	49680225	49680725
chr19	49702045	49702565
chr19	49703485	49704025
chr19	49710985	49711965
chr19	49713185	49714125
chr19	49716965	49717525
chr19	49728025	49728545
chr19	49729185	49729685
chr19	49770065	49770625
chr19	49804405	49804965
chr19	49831025	49831585
chr19	49831645	49832165
chr19	49834705	49835265
chr19	49838085	49838926
chr19	49842065	49842605
chr19	49843445	49843945
chr19	49851005	49851525
chr19	49866745	49867291
chr19	49891088	49891724
chr19	49895045	49895585
chr19	12996905	12998745
chr19	48812505	48813005
chr19	48817545	48818085
chr19	48824385	48824925
chr19	48824985	48825585
chr19	48828378	48829005
chr19	48829105	48829625
chr19	48835885	48836625
chr19	48837085	48837585
chr19	48842585	48843105
chr19	48848065	48848565
chr19	48854445	48854985
chr19	48857765	48858285
chr19	48860245	48860765
chr19	48866225	48866745
chr19	48867065	48867900
chr19	48882305	48882825
chr19	48888265	48888845
chr19	48893765	48894265
chr19	48894560	48895125
chr19	48901785	48902565
chr19	48902785	48903825
chr19	48906765	48907285
chr19	48918625	48919125
chr19	48921865	48922365
chr19	48926705	48927225
chr19	48927925	48928445
chr19	48948385	48949865
chr19	48965525	48966045
chr19	48972065	48972714
chr19	48994265	48995185
chr19	48995945	48996445
chr19	48996485	48997025
chr19	49004845	49005805
chr19	49013725	49014245
chr19	49016965	49017545
chr19	49057025	49057525
chr19	49061365	49061885
chr19	49066245	49067065
chr19	49068145	49068725
chr19	49071505	49072065
chr19	49077845	49078345
chr19	49087405	49087905
chr19	49092065	49092605
chr19	49111965	49112605
chr19	49122297	49122925
chr19	49127205	49127745
chr19	49136565	49137065
chr19	49137625	49138125
chr19	49138385	49139005
chr19	49140557	49141785
chr19	49142125	49142625
chr19	49147965	49148465
chr19	49149245	49150285
chr19	49154505	49155005
chr19	49155845	49156345
chr19	49164145	49164725
chr19	49178545	49179065
chr19	49181385	49181885
chr19	49184245	49184745
chr19	49188705	49189225
chr19	49201245	49201785
chr19	49217245	49217905
chr19	49223765	49224305
chr19	49228065	49228565
chr19	49240545	49241065
chr19	49241785	49242285
chr19	49243720	49245145
chr19	49248365	49248885
chr19	49249985	49250765
chr19	49251085	49251625
chr19	49256667	49257845
chr19	49258505	49259065
chr19	49269005	49269505
chr19	49277645	49278145
chr19	49284045	49284685
chr19	49287765	49288285
chr19	49291305	49291865
chr19	49298545	49299065
chr19	49309805	49310825
chr19	49314070	49314625
chr19	49315365	49315905
chr19	49319185	49319685
chr19	49322685	49323205
chr19	49333325	49333845
chr19	49338885	49339405
chr19	49345685	49346405
chr19	49347645	49348165
chr19	49357245	49357765
chr19	49361765	49362265
chr19	49362425	49362945
chr19	49363225	49363765
chr19	49370285	49370805
chr19	49375325	49375898
chr19	49376085	49376585
chr19	49376745	49377245
chr19	49377625	49378145
chr19	49378405	49379925
chr19	49381225	49382185
chr19	49391365	49391905
chr19	49393745	49394245
