Supplementary Table 6a. Dataset of experimentally tested noncoding element-gene connections in K562 cells,,,,,,,,,,,,,,,,,,,,,,,
chr,start,end,Element name,Gene,class,Cell type,Fraction change in gene expr,Adjusted p-value,Significant,RNA readout method,Perturbation method,nKO,nCtrl,semKO,semCtrl,Power to detect 25% effects,Gene TSS,Normalized HiC Contacts,DHS (RPM),H3K27ac (RPM),Activity,ABC Score,Reference
chr8,128189625,128192185,intergenic|chr8:128190625-128191185,MYC,intergenic,K562,-0.00132609,0.79235174,FALSE,Proliferation Screen,KRAB-dCas9,32,3919,0.019864902,0.001571008,1,128748314,8.480639863,0.692727,0.102361,0.266285,0.000176773,Fulco2016
chr8,128208622,128211122,promoter|chr8:128209622-128210122,MYC,promoter,K562,-0.00862979,0.955813972,FALSE,Proliferation Screen,KRAB-dCas9,43,3919,0.017175123,0.001571008,1,128748314,0.436815159,0.073571,0,0,0,Fulco2016
chr8,128230263,128232763,promoter|chr8:128231263-128231763,MYC,promoter,K562,-0.00589094,0.861630692,FALSE,Proliferation Screen,KRAB-dCas9,38,3919,0.021818919,0.001571008,1,128748314,2.887004773,0.091094,0,0,0,Fulco2016
chr8,128578205,128580765,intergenic|chr8:128579205-128579765,MYC,intergenic,K562,-0.01712446,0.84128602,FALSE,Proliferation Screen,KRAB-dCas9,36,3919,0.020876286,0.001571008,1,128748314,5.957806395,1.259657,3.685002,2.155386,0.0010052,Fulco2016
chr8,128627285,128629785,intergenic|chr8:128628285-128628785,MYC,intergenic,K562,0.01411366,0.293840959,FALSE,Proliferation Screen,KRAB-dCas9,48,3919,0.0184268,0.001571008,1,128748314,3.96293772,0.463822,0.307083,0.3774,0.000117074,Fulco2016
chr8,128629585,128632085,intergenic|chr8:128631185-128631725-intergenic|chr8:128630585-128631085,MYC,intergenic,K562,0.02650585,0.194119199,FALSE,Proliferation Screen,KRAB-dCas9,28,3919,0.017064443,0.001571008,1,128748314,7.816472819,5.609405,2.866112,3.949846,0.002416752,Fulco2016
chr8,128630185,128632725,intergenic|chr8:128631185-128631725-intergenic|chr8:128630585-128631085,MYC,intergenic,K562,0.00811119,0.455832052,FALSE,Proliferation Screen,KRAB-dCas9,49,3919,0.016407254,0.001571008,1,128748314,7.816472819,5.609405,2.866112,3.949846,0.002416752,Fulco2016
chr8,128736885,128739385,genic|chr8:128737885-128738385,MYC,genic,K562,-0.02892406,0.451439157,FALSE,Proliferation Screen,KRAB-dCas9,46,3919,0.011043399,0.001571008,1,128748314,52.31074042,1.37626,1.023612,1.186909,0.004860146,Fulco2016
chr8,128739945,128742485,genic|chr8:128740945-128741485,MYC,genic,K562,-0.00657407,0.862189596,FALSE,Proliferation Screen,KRAB-dCas9,46,3919,0.010996881,0.001571008,1,128748314,100,2.288137,0.102361,0.483956,0.003788323,Fulco2016
chr8,128757345,128759905,intergenic|chr8:128758345-128758905,MYC,intergenic,K562,0.01152757,0.362358865,FALSE,Proliferation Screen,KRAB-dCas9,47,3919,0.014692551,0.001571008,1,128748314,49.13401611,0.877985,0.307083,0.519241,0.001997065,Fulco2016
chr8,128770725,128773225,intergenic|chr8:128772725-128773485-intergenic|chr8:128771725-128772225,MYC,intergenic,K562,0.00812488,0.48889231,FALSE,Proliferation Screen,KRAB-dCas9,45,3919,0.011110794,0.001571008,1,128748314,23.01459813,8.489623,2.251945,4.36318,0.007860453,Fulco2016
chr8,128771725,128774485,intergenic|chr8:128772725-128773485-intergenic|chr8:128771725-128772225,MYC,intergenic,K562,0.01595939,0.171980596,FALSE,Proliferation Screen,KRAB-dCas9,63,3919,0.010513854,0.001571008,1,128748314,23.01459813,8.489623,2.251945,4.36318,0.007860453,Fulco2016
chr8,128787805,128790305,intergenic|chr8:128788805-128789305,MYC,intergenic,K562,0.00645503,0.592892549,FALSE,Proliferation Screen,KRAB-dCas9,36,3919,0.015396593,0.001571008,1,128748314,13.36902295,0.873965,0.92125,0.897296,0.000939024,Fulco2016
chr8,128805528,128808028,promoter|chr8:128807125-128807865-promoter|chr8:128806528-128807028-promoter|chr8:128807925-128808425,MYC,promoter,K562,0.00545288,0.361918563,FALSE,Proliferation Screen,KRAB-dCas9,94,3919,0.009527241,0.001571008,1,128748314,16.06409114,2.631421,9.417227,4.951972,0.00622695,Fulco2016
chr8,128806125,128808865,promoter|chr8:128807125-128807865-promoter|chr8:128806528-128807028-promoter|chr8:128807925-128808425,MYC,promoter,K562,0.03726628,0.000729815,TRUE,Proliferation Screen,KRAB-dCas9,69,3919,0.009252742,0.001571008,1,128748314,16.06409114,2.631421,9.417227,4.951972,0.00622695,Fulco2016
chr8,128806925,128809425,promoter|chr8:128807125-128807865-promoter|chr8:128806528-128807028-promoter|chr8:128807925-128808425,MYC,promoter,K562,0.03834059,0.004446504,TRUE,Proliferation Screen,KRAB-dCas9,50,3919,0.011216423,0.001571008,1,128748314,16.06409114,2.631421,9.417227,4.951972,0.00622695,Fulco2016
chr8,128811885,128814385,genic|chr8:128812885-128813385,MYC,genic,K562,0.02068095,0.1528396,FALSE,Proliferation Screen,KRAB-dCas9,48,3919,0.018243679,0.001571008,1,128748314,17.94495871,10.932196,1.74014,4.299263,0.006039174,Fulco2016
chr8,128817965,128820545,genic|chr8:128818965-128819545,MYC,genic,K562,0.00475771,0.618982621,FALSE,Proliferation Screen,KRAB-dCas9,40,3919,0.016397786,0.001571008,1,128748314,22.05807452,1.068384,0.409445,0.6614,0.001142018,Fulco2016
chr8,128826425,128828925,genic|chr8:128827425-128827925,MYC,genic,K562,0.01891173,0.225480006,FALSE,Proliferation Screen,KRAB-dCas9,39,3919,0.010538009,0.001571008,1,128748314,9.163059172,0.394347,0.511806,0.449256,0.000322237,Fulco2016
chr8,128831405,128833905,genic|chr8:128832405-128832905,MYC,genic,K562,-0.00299549,0.78733952,FALSE,Proliferation Screen,KRAB-dCas9,60,3919,0.010017291,0.001571008,1,128748314,14.18593724,0.60213,0.511806,0.555136,0.000616451,Fulco2016
chr8,128833725,128836225,genic|chr8:128834725-128835225,MYC,genic,K562,0.00748409,0.530917036,FALSE,Proliferation Screen,KRAB-dCas9,40,3919,0.014926921,0.001571008,1,128748314,14.18593724,0.661352,0.204722,0.367956,0.000408597,Fulco2016
chr8,128842745,128845245,genic|chr8:128843745-128844245,MYC,genic,K562,0.00673153,0.522084517,FALSE,Proliferation Screen,KRAB-dCas9,46,3919,0.011020777,0.001571008,1,128748314,22.28536022,2.959279,1.330695,1.963718,0.003425625,Fulco2016
chr8,128855505,128858085,genic|chr8:128857945-128858445-genic|chr8:128856505-128857085,MYC,genic,K562,-0.00585378,0.861630692,FALSE,Proliferation Screen,KRAB-dCas9,45,3919,0.01447076,0.001571008,1,128748314,20.92120692,1.749929,3.685002,2.535221,0.004151869,Fulco2016
chr8,128856945,128859445,genic|chr8:128857945-128858445-genic|chr8:128858545-128859045-genic|chr8:128856505-128857085,MYC,genic,K562,-0.01719678,0.78733952,FALSE,Proliferation Screen,KRAB-dCas9,60,3919,0.01262643,0.001571008,1,128748314,20.92120692,2.431462,4.913336,3.450179,0.005650273,Fulco2016
chr8,128857545,128860045,genic|chr8:128857945-128858445-genic|chr8:128858545-128859045-genic|chr8:128859805-128860425,MYC,genic,K562,0.00474973,0.530914034,FALSE,Proliferation Screen,KRAB-dCas9,57,3919,0.012345064,0.001571008,1,128748314,19.76779433,2.248503,2.866113,2.475892,0.003848908,Fulco2016
chr8,128858805,128861425,genic|chr8:128858545-128859045-genic|chr8:128859805-128860425,MYC,genic,K562,0.02264285,0.247779508,FALSE,Proliferation Screen,KRAB-dCas9,29,3919,0.015895602,0.001571008,1,128748314,19.19108803,1.621483,1.842501,1.674753,0.002536903,Fulco2016
chr8,128862585,128865725,genic|chr8:128863585-128864725,MYC,genic,K562,0.0065342,0.212245631,FALSE,Proliferation Screen,KRAB-dCas9,128,3919,0.007801994,0.001571008,1,128748314,17.46096915,5.661467,13.614035,8.900143,0.01216484,Fulco2016
chr8,128865365,128868165,genic|chr8:128866365-128867165,MYC,genic,K562,0.00871315,0.172879533,FALSE,Proliferation Screen,KRAB-dCas9,118,3919,0.00723965,0.001571008,1,128748314,17.4921363,2.91309,17.60612,7.172369,0.009820793,Fulco2016
